ID,Region,Numero,Taille
NO15,NO,15,3
NO14,NO,14,2
NO13,NO,13,2
NO12,NO,12,1
NO11,NO,11,1
NO10,NO,10,1
NO9,NO,9,1
NO8,NO,8,1
NO7,NO,7,1
NO6,NO,6,1
NO5,NO,5,1
NO4,NO,4,1
NO3,NO,3,1
NO2,NO,2,1
NO1,NO,1,1
NE15,NE,15,3
NE14,NE,14,2
NE13,NE,13,2
NE12,NE,12,1
NE11,NE,11,1
NE10,NE,10,1
NE9,NE,9,1
NE8,NE,8,1
NE7,NE,7,1
NE6,NE,6,1
NE5,NE,5,1
NE4,NE,4,1
NE3,NE,3,1
NE2,NE,2,1
NE1,NE,1,1
SE15,SE,15,3
SE14,SE,14,2
SE13,SE,13,2
SE12,SE,12,1
SE11,SE,11,1
SE10,SE,10,1
SE9,SE,9,1
SE8,SE,8,1
SE7,SE,7,1
SE6,SE,6,1
SE5,SE,5,1
SE4,SE,4,1
SE3,SE,3,1
SE2,SE,2,1
SE1,SE,1,1
SO15,SO,15,3
SO14,SO,14,2
SO13,SO,13,2
SO12,SO,12,1
SO11,SO,11,1
SO10,SO,10,1
SO9,SO,9,1
SO8,SO,8,1
SO7,SO,7,1
SO6,SO,6,1
SO5,SO,5,1
SO4,SO,4,1
SO3,SO,3,1
SO2,SO,2,1
SO1,SO,1,1
